CPF,Classificação,Valor 1,Valor 2,Valor 3,Valor 4
55695397315,Promotor, 49.0, 30.0, 14.0, 20.0 
66707599984,Promotor, 51.0, 35.0, 14.0, 20.0
63743886918,Promotor, 47.0, 32.0, 13.0, 20.0
55941368774,Promotor, 46.0, 31.0, 15.0, 20.0
75486280874,Promotor, 50.0, 36.0, 14.0, 20.0
53164949799,Promotor, 54.0, 39.0, 17.0, 40.0
39898704131,Promotor, 46.0, 34.0, 14.0, 30.0
53740901207,Promotor, 50.0, 34.0, 15.0, 20.0
51735950236,Promotor, 44.0, 29.0, 14.0, 20.0
47305108951,Promotor, 49.0, 31.0, 15.0, 10.0
63858864633,Promotor, 54.0, 37.0, 15.0, 20.0
53363167240,Promotor, 48.0, 34.0, 16.0, 20.0
72133754195,Promotor, 48.0, 30.0, 14.0, 10.0
52802483512,Promotor, 43.0, 30.0, 11.0, 10.0
57925287214,Promotor, 48.0, 34.0, 19.0, 20.0
74354632224,Promotor, 50.0, 30.0, 16.0, 20.0
64020216626,Promotor, 50.0, 34.0, 16.0, 40.0
78223722856,Promotor, 52.0, 35.0, 15.0, 20.0
58245228846,Promotor, 52.0, 34.0, 14.0, 20.0
74490686776,Promotor, 47.0, 32.0, 16.0, 20.0
48646824781,Promotor, 48.0, 31.0, 16.0, 20.0
77381458676,Promotor, 54.0, 34.0, 15.0, 40.0
41615431874,Promotor, 52.0, 41.0, 15.0, 10.0
52163844491,Promotor, 55.0, 42.0, 14.0, 20.0
70276304567,Promotor, 49.0, 31.0, 15.0, 20.0
69119828185,Promotor, 50.0, 32.0, 12.0, 20.0
65441690046,Promotor, 55.0, 35.0, 13.0, 20.0
56457227894,Promotor, 49.0, 36.0, 14.0, 10.0
46939428126,Promotor, 44.0, 30.0, 13.0, 20.0
60979942480,Promotor, 51.0, 34.0, 15.0, 20.0
41648583220,Promotor, 50.0, 35.0, 13.0, 30.0
50376331791,Promotor, 45.0, 23.0, 13.0, 30.0
67008801023,Promotor, 44.0, 32.0, 13.0, 20.0
72149193419,Promotor, 50.0, 35.0, 16.0, 60.0
62830733382,Promotor, 51.0, 38.0, 19.0, 40.0
56716675811,Promotor, 48.0, 30.0, 14.0, 30.0
61089667146,Promotor, 51.0, 38.0, 16.0, 20.0
47795509468,Promotor, 46.0, 32.0, 14.0, 20.0
60899885693,Promotor, 53.0, 37.0, 15.0, 20.0
53433670705,Promotor, 50.0, 33.0, 14.0, 20.0
54850120580,Neutro, 70.0, 32.0, 47.0, 14.0
71457789994,Neutro, 64.0, 32.0, 45.0, 15.0
67692777563,Neutro, 69.0, 31.0, 49.0, 15.0
43133573182,Neutro, 55.0, 23.0, 40.0, 13.0
55150612815,Neutro, 65.0, 28.0, 46.0, 15.0
48211725243,Neutro, 57.0, 28.0, 45.0, 13.0
76686463776,Neutro, 63.0, 33.0, 47.0, 16.0
